
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################


	###########################################

	### HTandRX's Agent 	#  6394.97 	###

	### RandomBot67  	#  3398.23 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2635.57 	###

	### jet2holiday  	#  2585.06 	###

	### GigaBot      	#  1931.98 	###

	### sudo         	#  1885.42 	###

	###              	#   962.12 	###

	### qwer         	#   746.63 	###

	### Tier 3 Agent 	#   388.47 	###

	### 67           	#   302.29 	###

	### orange       	#    96.67 	###

	### NikhilxCamilo 	#    26.57 	###

	### 67 Random Search v2 	#     0.00 	###

	### TA - Tier 1 Agent 	# -2610.69 	###

	### brawl_stars  	# -2802.52 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  5224.96 	###

	### brawl_stars  	#  3648.13 	###

	### 67           	#  2993.24 	###

	###              	#  2611.00 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2442.05 	###

	### sudo         	#  1509.97 	###

	### jet2holiday  	#  1261.15 	###

	### 67 Random Search v2 	#   929.14 	###

	### NikhilxCamilo 	#   135.57 	###

	### RandomBot67  	#    35.75 	###

	### GigaBot      	#     0.00 	###

	### Tier 3 Agent 	#   -11.85 	###

	### qwer         	#   -71.12 	###

	### orange       	#  -124.35 	###

	### TA - Tier 1 Agent 	# -1568.27 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3479.24 	###

	### sudo         	#  2570.48 	###

	### orange       	#  2021.94 	###

	### GigaBot      	#  1931.11 	###

	###              	#  1915.66 	###

	### NikhilxCamilo 	#  1908.48 	###

	### qwer         	#  1761.32 	###

	### brawl_stars  	#  1403.93 	###

	### 67           	#  1253.26 	###

	### 67 Random Search v2 	#   924.31 	###

	### RandomBot67  	#   818.65 	###

	### TA - Dust II B Anchor (Tier 2) 	#   770.20 	###

	### HTandRX's Agent 	#   605.31 	###

	### Tier 3 Agent 	#    -9.12 	###

	### TA - Tier 1 Agent 	# -2492.00 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  4846.59 	###

	### sudo         	#  4009.69 	###

	### GigaBot      	#  3834.37 	###

	### qwer         	#  3604.39 	###

	### brawl_stars  	#  2801.02 	###

	### RandomBot67  	#  2327.17 	###

	### 67 Random Search v2 	#  1652.24 	###

	### NikhilxCamilo 	#  1484.69 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1413.93 	###

	###              	#  1084.26 	###

	### HTandRX's Agent 	#   857.69 	###

	### Tier 3 Agent 	#    -6.92 	###

	### jet2holiday  	#   -32.00 	###

	### orange       	#  -339.62 	###

	### TA - Tier 1 Agent 	# -2462.96 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  5474.10 	###

	### TA - Dust II B Anchor (Tier 2) 	#  5410.91 	###

	### HTandRX's Agent 	#  2675.06 	###

	### 67 Random Search v2 	#  1746.35 	###

	### GigaBot      	#  1409.78 	###

	### qwer         	#  1273.65 	###

	### 67           	#  1250.81 	###

	### orange       	#  1211.22 	###

	### TA - Tier 1 Agent 	#  1168.65 	###

	### NikhilxCamilo 	#  1036.61 	###

	### jet2holiday  	#   599.65 	###

	### sudo         	#   528.41 	###

	###              	#   429.99 	###

	### Tier 3 Agent 	#    -9.26 	###

	### RandomBot67  	#   -36.32 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  5121.59 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3830.44 	###

	### qwer         	#  3606.10 	###

	### NikhilxCamilo 	#  3429.02 	###

	###              	#  3203.64 	###

	### brawl_stars  	#  2203.90 	###

	### RandomBot67  	#  2017.62 	###

	### sudo         	#  1898.53 	###

	### TA - Tier 1 Agent 	#   342.79 	###

	### orange       	#   323.85 	###

	### HTandRX's Agent 	#   171.40 	###

	### 67 Random Search v2 	#   110.00 	###

	### 67           	#    -0.75 	###

	### Tier 3 Agent 	#    -6.78 	###

	### GigaBot      	#    -8.56 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4435.37 	###

	### sudo         	#  2953.39 	###

	### RandomBot67  	#  2729.25 	###

	### GigaBot      	#  2300.44 	###

	###              	#  1801.14 	###

	### qwer         	#  1406.43 	###

	### TA - Dust II B Anchor (Tier 2) 	#   867.48 	###

	### orange       	#   485.20 	###

	### 67           	#   369.33 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#    -4.84 	###

	### brawl_stars  	#   -17.95 	###

	### NikhilxCamilo 	#   -47.70 	###

	### jet2holiday  	#  -516.21 	###

	### TA - Tier 1 Agent 	#  -620.31 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3418.34 	###

	### RandomBot67  	#  3312.14 	###

	### 67 Random Search v2 	#  3037.79 	###

	### brawl_stars  	#  2847.52 	###

	### GigaBot      	#  2269.08 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2194.35 	###

	### qwer         	#  1636.12 	###

	### orange       	#  1597.58 	###

	### HTandRX's Agent 	#  1491.49 	###

	###              	#   825.29 	###

	### sudo         	#   684.55 	###

	### NikhilxCamilo 	#    38.75 	###

	### 67           	#     0.00 	###

	### Tier 3 Agent 	#    -5.53 	###

	### TA - Tier 1 Agent 	#  -876.50 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4712.13 	###

	### sudo         	#  3049.07 	###

	###              	#  2597.42 	###

	### HTandRX's Agent 	#  2446.04 	###

	### RandomBot67  	#  1451.04 	###

	### GigaBot      	#  1114.85 	###

	### 67 Random Search v2 	#   804.99 	###

	### jet2holiday  	#   704.94 	###

	### TA - Dust II B Anchor (Tier 2) 	#   667.74 	###

	### NikhilxCamilo 	#   458.72 	###

	### qwer         	#     0.93 	###

	### 67           	#    -1.77 	###

	### Tier 3 Agent 	#    -4.27 	###

	### orange       	#  -392.05 	###

	### TA - Tier 1 Agent 	# -2190.31 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3261.74 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2813.65 	###

	### brawl_stars  	#  2623.70 	###

	### sudo         	#  2570.55 	###

	### NikhilxCamilo 	#  2249.87 	###

	### 67           	#  2120.63 	###

	### orange       	#  1245.46 	###

	### qwer         	#  1057.40 	###

	### jet2holiday  	#   649.93 	###

	###              	#   554.10 	###

	### RandomBot67  	#   371.37 	###

	### 67 Random Search v2 	#   364.53 	###

	### Tier 3 Agent 	#   364.30 	###

	### GigaBot      	#   -53.10 	###

	### TA - Tier 1 Agent 	# -3392.82 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  5067.49 	###

	### HTandRX's Agent 	#  3812.91 	###

	### GigaBot      	#  3801.96 	###

	###              	#  2284.47 	###

	### qwer         	#  1277.89 	###

	### 67 Random Search v2 	#   882.76 	###

	### sudo         	#   842.92 	###

	### 67           	#   609.48 	###

	### brawl_stars  	#   302.00 	###

	### RandomBot67  	#   248.01 	###

	### jet2holiday  	#   103.15 	###

	### Tier 3 Agent 	#    71.81 	###

	### NikhilxCamilo 	#    -0.95 	###

	### orange       	#  -131.46 	###

	### TA - Tier 1 Agent 	#  -849.70 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  5601.64 	###

	### HTandRX's Agent 	#  5475.79 	###

	### 67 Random Search v2 	#  3382.96 	###

	### GigaBot      	#  2408.21 	###

	### jet2holiday  	#  1772.97 	###

	### qwer         	#  1729.18 	###

	### brawl_stars  	#  1539.47 	###

	### sudo         	#  1241.27 	###

	### NikhilxCamilo 	#  1074.70 	###

	### TA - Tier 1 Agent 	#   849.15 	###

	### 67           	#   772.81 	###

	### RandomBot67  	#   641.54 	###

	###              	#   489.04 	###

	### Tier 3 Agent 	#    -2.26 	###

	### orange       	#  -747.23 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4741.66 	###

	### HTandRX's Agent 	#  3277.84 	###

	### brawl_stars  	#  2052.69 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2047.98 	###

	###              	#  1915.15 	###

	### NikhilxCamilo 	#  1794.06 	###

	### RandomBot67  	#  1375.92 	###

	### qwer         	#   852.02 	###

	### sudo         	#   810.70 	###

	### 67           	#   685.32 	###

	### 67 Random Search v2 	#   401.20 	###

	### TA - Tier 1 Agent 	#   332.66 	###

	### jet2holiday  	#    93.57 	###

	### Tier 3 Agent 	#   -20.59 	###

	### orange       	# -1762.44 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  8340.87 	###

	### sudo         	#  3593.94 	###

	### HTandRX's Agent 	#  2767.34 	###

	### GigaBot      	#  2154.65 	###

	### brawl_stars  	#  1717.53 	###

	### qwer         	#  1164.60 	###

	### TA - Tier 1 Agent 	#   923.06 	###

	### TA - Dust II B Anchor (Tier 2) 	#   806.31 	###

	### jet2holiday  	#   426.28 	###

	### 67           	#   333.69 	###

	### 67 Random Search v2 	#   236.74 	###

	### NikhilxCamilo 	#   206.41 	###

	### RandomBot67  	#   163.98 	###

	### Tier 3 Agent 	#    -2.90 	###

	### orange       	# -1694.22 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  3876.13 	###

	### brawl_stars  	#  2784.20 	###

	### HTandRX's Agent 	#  2387.14 	###

	### 67 Random Search v2 	#  1854.37 	###

	### TA - Tier 1 Agent 	#  1473.29 	###

	### sudo         	#   778.17 	###

	### GigaBot      	#   767.12 	###

	### jet2holiday  	#   690.29 	###

	### RandomBot67  	#   608.12 	###

	### TA - Dust II B Anchor (Tier 2) 	#   604.09 	###

	### orange       	#   401.93 	###

	###              	#   387.89 	###

	### NikhilxCamilo 	#    69.10 	###

	### 67           	#     0.00 	###

	### Tier 3 Agent 	#    -3.79 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  3781.83 	###

	### 67 Random Search v2 	#  3475.55 	###

	### jet2holiday  	#  2431.05 	###

	### RandomBot67  	#  2179.71 	###

	### orange       	#  2082.29 	###

	###              	#  1849.75 	###

	### GigaBot      	#  1049.98 	###

	### brawl_stars  	#   979.64 	###

	### TA - Dust II B Anchor (Tier 2) 	#   915.82 	###

	### sudo         	#   751.52 	###

	### NikhilxCamilo 	#   747.49 	###

	### HTandRX's Agent 	#   129.60 	###

	### 67           	#    15.77 	###

	### Tier 3 Agent 	#    -7.46 	###

	### TA - Tier 1 Agent 	#  -589.48 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4472.16 	###

	### RandomBot67  	#  3642.31 	###

	### sudo         	#  2792.52 	###

	### GigaBot      	#  2382.09 	###

	### NikhilxCamilo 	#  2296.09 	###

	### jet2holiday  	#  2122.13 	###

	### qwer         	#  2105.85 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1988.53 	###

	### 67 Random Search v2 	#  1717.70 	###

	###              	#  1517.22 	###

	### 67           	#   567.22 	###

	### Tier 3 Agent 	#    -4.37 	###

	### HTandRX's Agent 	#   -24.28 	###

	### TA - Tier 1 Agent 	#  -179.25 	###

	### orange       	# -2209.48 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3793.12 	###

	### 67 Random Search v2 	#  3523.08 	###

	### jet2holiday  	#  3464.33 	###

	### RandomBot67  	#  3153.45 	###

	### HTandRX's Agent 	#  2871.76 	###

	### qwer         	#  2796.74 	###

	### brawl_stars  	#  2744.90 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2741.31 	###

	### GigaBot      	#  2193.67 	###

	### sudo         	#   559.35 	###

	### NikhilxCamilo 	#    85.32 	###

	### 67           	#     6.02 	###

	### Tier 3 Agent 	#    -2.49 	###

	### TA - Tier 1 Agent 	#   -33.80 	###

	### orange       	# -1131.00 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  5445.73 	###

	### brawl_stars  	#  3953.20 	###

	### sudo         	#  2813.39 	###

	### HTandRX's Agent 	#  2507.58 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1942.06 	###

	### 67 Random Search v2 	#  1236.19 	###

	### jet2holiday  	#   721.95 	###

	### orange       	#   701.77 	###

	### qwer         	#   635.45 	###

	### GigaBot      	#   618.95 	###

	### RandomBot67  	#   529.78 	###

	### TA - Tier 1 Agent 	#   276.64 	###

	### NikhilxCamilo 	#    14.29 	###

	### Tier 3 Agent 	#    -3.87 	###

	###              	#  -277.88 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  4709.91 	###

	### brawl_stars  	#  3684.01 	###

	### 67           	#  3238.81 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2869.37 	###

	###              	#  2751.98 	###

	### GigaBot      	#  2650.34 	###

	### RandomBot67  	#  2537.50 	###

	### sudo         	#  1359.33 	###

	### 67 Random Search v2 	#   714.54 	###

	### orange       	#   570.40 	###

	### jet2holiday  	#   389.10 	###

	### HTandRX's Agent 	#   173.77 	###

	### Tier 3 Agent 	#    -2.55 	###

	### NikhilxCamilo 	#  -161.83 	###

	### TA - Tier 1 Agent 	#  -354.91 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  5288.36 	###

	###              	#  3315.02 	###

	### brawl_stars  	#  2195.48 	###

	### NikhilxCamilo 	#  2108.98 	###

	### HTandRX's Agent 	#  1801.70 	###

	### RandomBot67  	#  1502.51 	###

	### qwer         	#  1198.72 	###

	### 67 Random Search v2 	#   465.52 	###

	### 67           	#   446.12 	###

	### orange       	#   444.64 	###

	### TA - Dust II B Anchor (Tier 2) 	#   335.08 	###

	### jet2holiday  	#   225.38 	###

	### Tier 3 Agent 	#    -5.25 	###

	### GigaBot      	#  -654.85 	###

	### TA - Tier 1 Agent 	#  -976.03 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4247.46 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3241.47 	###

	### RandomBot67  	#  2780.42 	###

	### qwer         	#  2692.31 	###

	### HTandRX's Agent 	#  1647.41 	###

	###              	#  1595.37 	###

	### Tier 3 Agent 	#  1398.70 	###

	### 67           	#  1289.61 	###

	### 67 Random Search v2 	#  1147.00 	###

	### GigaBot      	#  1051.16 	###

	### sudo         	#   702.00 	###

	### NikhilxCamilo 	#   635.08 	###

	### TA - Tier 1 Agent 	#   535.30 	###

	### jet2holiday  	#   323.64 	###

	### orange       	#   236.85 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### Tier 3 Agent 	#  3707.93 	###

	### HTandRX's Agent 	#  3087.14 	###

	###              	#  2653.26 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2589.07 	###

	### 67           	#  1978.85 	###

	### TA - Tier 1 Agent 	#  1895.40 	###

	### sudo         	#  1405.07 	###

	### orange       	#   769.47 	###

	### jet2holiday  	#   679.26 	###

	### qwer         	#   661.91 	###

	### NikhilxCamilo 	#   543.17 	###

	### 67 Random Search v2 	#   542.46 	###

	### brawl_stars  	#   182.69 	###

	### RandomBot67  	#     0.00 	###

	### GigaBot      	#  -230.34 	###

	###########################################

	@@@ WINNER: Tier 3 Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  6170.76 	###

	### TA - Dust II B Anchor (Tier 2) 	#  4986.91 	###

	### brawl_stars  	#  4233.41 	###

	### HTandRX's Agent 	#  3020.49 	###

	### qwer         	#  2408.42 	###

	### RandomBot67  	#  2285.25 	###

	###              	#  1949.26 	###

	### sudo         	#  1895.85 	###

	### jet2holiday  	#   798.28 	###

	### 67           	#   572.00 	###

	### NikhilxCamilo 	#   550.89 	###

	### 67 Random Search v2 	#   324.68 	###

	### Tier 3 Agent 	#    -8.16 	###

	### orange       	# -1051.76 	###

	### TA - Tier 1 Agent 	# -1896.89 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  3679.59 	###

	### 67           	#  3508.51 	###

	### jet2holiday  	#  3259.65 	###

	### sudo         	#  2999.02 	###

	### HTandRX's Agent 	#  2170.24 	###

	### RandomBot67  	#  1726.61 	###

	### 67 Random Search v2 	#   940.10 	###

	###              	#   787.25 	###

	### qwer         	#   478.17 	###

	### orange       	#   366.01 	###

	### TA - Dust II B Anchor (Tier 2) 	#   252.85 	###

	### Tier 3 Agent 	#    -7.06 	###

	### TA - Tier 1 Agent 	#   -66.66 	###

	### brawl_stars  	#   -76.11 	###

	### NikhilxCamilo 	#   -77.37 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4872.94 	###

	### sudo         	#  2995.91 	###

	### HTandRX's Agent 	#  1981.55 	###

	### brawl_stars  	#  1642.73 	###

	### qwer         	#  1616.90 	###

	### NikhilxCamilo 	#  1270.63 	###

	### GigaBot      	#  1188.79 	###

	###              	#  1176.97 	###

	### 67           	#  1174.07 	###

	### RandomBot67  	#   646.45 	###

	### jet2holiday  	#   169.34 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#    -3.09 	###

	### orange       	#  -305.76 	###

	### TA - Tier 1 Agent 	# -1682.24 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3251.84 	###

	### HTandRX's Agent 	#  2946.46 	###

	### brawl_stars  	#  1762.85 	###

	### NikhilxCamilo 	#  1632.93 	###

	### GigaBot      	#  1424.38 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1335.49 	###

	### 67 Random Search v2 	#  1145.19 	###

	### sudo         	#  1112.67 	###

	### jet2holiday  	#   827.14 	###

	### 67           	#   261.13 	###

	### qwer         	#   194.96 	###

	### Tier 3 Agent 	#    -4.19 	###

	### RandomBot67  	#   -32.70 	###

	### TA - Tier 1 Agent 	#  -264.36 	###

	### orange       	# -1408.76 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4152.41 	###

	### HTandRX's Agent 	#  3717.10 	###

	### jet2holiday  	#  3319.65 	###

	### sudo         	#  2745.77 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2172.85 	###

	###              	#  1894.20 	###

	### RandomBot67  	#  1278.93 	###

	### 67           	#   728.35 	###

	### GigaBot      	#   696.62 	###

	### 67 Random Search v2 	#   625.45 	###

	### Tier 3 Agent 	#   -11.74 	###

	### qwer         	#   -92.49 	###

	### NikhilxCamilo 	#  -149.11 	###

	### TA - Tier 1 Agent 	#  -360.01 	###

	### orange       	#  -804.87 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  5042.32 	###

	### orange       	#  4025.70 	###

	### sudo         	#  3114.96 	###

	### qwer         	#  2704.25 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2593.90 	###

	### 67 Random Search v2 	#  1314.83 	###

	### 67           	#  1235.75 	###

	###              	#  1149.79 	###

	### GigaBot      	#   995.52 	###

	### brawl_stars  	#   588.67 	###

	### jet2holiday  	#   570.63 	###

	### RandomBot67  	#   558.97 	###

	### Tier 3 Agent 	#    -2.83 	###

	### NikhilxCamilo 	#  -372.75 	###

	### TA - Tier 1 Agent 	# -2020.35 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4235.06 	###

	### qwer         	#  4138.89 	###

	### GigaBot      	#  3527.67 	###

	### TA - Tier 1 Agent 	#  2478.17 	###

	### NikhilxCamilo 	#  2374.50 	###

	### 67           	#  1739.92 	###

	### sudo         	#  1462.41 	###

	### jet2holiday  	#   689.13 	###

	###              	#   562.80 	###

	### Tier 3 Agent 	#   388.26 	###

	### brawl_stars  	#   181.18 	###

	### HTandRX's Agent 	#   111.80 	###

	### 67 Random Search v2 	#     0.00 	###

	### RandomBot67  	#  -109.38 	###

	### orange       	#  -873.55 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3671.44 	###

	### brawl_stars  	#  3342.04 	###

	### sudo         	#  3143.40 	###

	### jet2holiday  	#  2217.91 	###

	### HTandRX's Agent 	#  2176.10 	###

	### GigaBot      	#  1833.77 	###

	### 67           	#  1600.66 	###

	### qwer         	#  1017.23 	###

	### 67 Random Search v2 	#   988.63 	###

	### RandomBot67  	#   603.27 	###

	### TA - Dust II B Anchor (Tier 2) 	#   493.95 	###

	### TA - Tier 1 Agent 	#   242.95 	###

	### NikhilxCamilo 	#   198.49 	###

	### Tier 3 Agent 	#    -3.76 	###

	### orange       	# -1351.11 	###

	###########################################

	@@@ WINNER:   @@@
Error getting ad bids from agent NikhilxCamilo: 

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  5451.09 	###

	### qwer         	#  5255.37 	###

	### 67 Random Search v2 	#  3380.29 	###

	### brawl_stars  	#  3312.25 	###

	### 67           	#  2718.20 	###

	### RandomBot67  	#  2095.55 	###

	### HTandRX's Agent 	#  1974.75 	###

	### jet2holiday  	#  1384.77 	###

	### GigaBot      	#  1290.24 	###

	### TA - Dust II B Anchor (Tier 2) 	#   897.99 	###

	### NikhilxCamilo 	#   204.74 	###

	### sudo         	#   143.66 	###

	### Tier 3 Agent 	#    -7.83 	###

	### orange       	#  -680.01 	###

	### TA - Tier 1 Agent 	# -2525.21 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4192.32 	###

	### sudo         	#  3316.08 	###

	### RandomBot67  	#  2751.35 	###

	### qwer         	#  2655.72 	###

	### brawl_stars  	#  2640.87 	###

	### 67           	#  1425.24 	###

	### TA - Dust II B Anchor (Tier 2) 	#   900.59 	###

	### jet2holiday  	#   811.40 	###

	### HTandRX's Agent 	#   619.53 	###

	### 67 Random Search v2 	#   312.23 	###

	### GigaBot      	#   307.49 	###

	### Tier 3 Agent 	#    -5.53 	###

	### NikhilxCamilo 	#   -22.25 	###

	### orange       	#   -69.42 	###

	### TA - Tier 1 Agent 	#  -589.57 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  3290.71 	###

	### HTandRX's Agent 	#  3236.05 	###

	### brawl_stars  	#  2765.31 	###

	### GigaBot      	#  2606.86 	###

	### jet2holiday  	#  2122.20 	###

	### qwer         	#  2098.92 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1972.10 	###

	### TA - Tier 1 Agent 	#  1902.38 	###

	### orange       	#  1899.20 	###

	###              	#  1503.81 	###

	### 67           	#   442.31 	###

	### 67 Random Search v2 	#   129.51 	###

	### RandomBot67  	#   105.29 	###

	### Tier 3 Agent 	#    -2.84 	###

	### NikhilxCamilo 	#  -328.85 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  3844.92 	###

	### TA - Tier 1 Agent 	#  3778.87 	###

	### 67 Random Search v2 	#  3063.19 	###

	### HTandRX's Agent 	#  2950.85 	###

	### sudo         	#  2915.17 	###

	### qwer         	#  2776.71 	###

	###              	#  1698.18 	###

	### GigaBot      	#   929.52 	###

	### RandomBot67  	#   872.94 	###

	### orange       	#   674.29 	###

	### TA - Dust II B Anchor (Tier 2) 	#   643.27 	###

	### NikhilxCamilo 	#    95.10 	###

	### 67           	#    67.38 	###

